list_name;name;label;order;;;;;;;;
ToiletFacility;Neighb_YardPlot;In a neighbour's yard or plot;;;;;;;;;
ToiletFacility;Public;Public toilet (located in public space);;;;;;;;;
ToiletFacility;NoFacility_Nature;No facility: Bush, river or 'flying toilet';;;;;;;;;
ToiletFacility;NA;Does not know / prefers not to answer;;;;;;;;;
ToiletFacilityTYPE;Flush;FIXED, FLUSH/POUR FLUSH toilet;;;;;;;;;
ToiletFacilityTYPE;DryOrCompost;FIXED, DRY or COMPOSTING toilet;;;;;;;;;
ToiletFacilityTYPE;Hanging;FIXED, HANGING toilet (over river or any open ground);;;;;;;;;
ToiletFacilityTYPE;PortableOrChem;MOBILE toilet: CHEMICAL toilet;;;;;;;;;
ToiletFacilityTYPE;FreshFit;MOBILE toilet: FRESH FIT;;;;;;;;;
ToiletFacilityTYPE;Bucket;BUCKET toilet;;;;;;;;;
ToiletFacilityTYPE;Other;Other;;;;;;;;;
ToiletFacilityTYPE;NA;Does not know / prefers not to answer;;;;;;;;;
ToiletFacilityTYPE_Flush;Flush_piped;To PIPED SEWER system;;;;;;;;;
ToiletFacilityTYPE_Flush;Flush_septic_tank;To SEPTIC TANK;;;;;;;;;
ToiletFacilityTYPE_Flush;Flush_coveredPit;To COVERED pit;;;;;;;;;
ToiletFacilityTYPE_Flush;Flush_UNcoveredPit;To UNCOVERED pit;;;;;;;;;
ToiletFacilityTYPE_Flush;Flush_river;To RIVER / OPEN GROUND;;;;;;;;;
ToiletFacilityTYPE_Flush;Flush_other;To somewhere else;;;;;;;;;
ToiletFacilityTYPE_Flush;Flush_NA;Does not know / prefers not to answer;;;;;;;;;
ToiletFacilityTYPE_Dry;Dry_FreshLife;FRESH LIFE toilet;;;;;;;;;
ToiletFacilityTYPE_Dry;Dry_VIP;VENTILATED improved pit LATRINE;;;;;;;;;
ToiletFacilityTYPE_Dry;Dry_ImprSlab;Pit LATRINE with slab, BUT without ventilation;;;;;;;;;
ToiletFacilityTYPE_Dry;Dry_UnimpLat;Pit LATRINE without slab/open pit;;;;;;;;;
ToiletFacilityTYPE_Dry;Composting;COMPOSTING toilet;;;;;;;;;
ToiletFacilityTYPE_Dry;Dry_NA;Does not know / prefers not to answer;;;;;;;;;
ToiletFacilityLOC;Indicated;Toilet facility has been indicated on map;;;;;;;;;
ToiletFacilityLOC;NA;Does not know / prefers not to answer;;;;;;;;;
ToiletNOFacilityLOC;Indicated;Place has been indicated on map;;;;;;;;;
ToiletNOFacilityLOC;NA;Does not know / prefers not to answer;;;;;;;;;
ToiletEMPTIED;Y;Yes;;;;;;;;;
ToiletEMPTIED;N;No;;;;;;;;;
ToiletEMPTIED;NA;Does not know / prefers not to answer;;;;;;;;;
ToiletEMPTIEDLOC;Treatment_plant;Treatment plant;;;;;;;;;
ToiletEMPTIEDLOC;Buried_covered;Buried in a covered pit;;;;;;;;;
ToiletEMPTIEDLOC;Uncovered;Uncovered pit/bush/field/open ground;;;;;;;;;
ToiletEMPTIEDLOC;Surface_Water;Surface water (river/dam/lake/pind/stream/canal/irrigation channel);;;;;;;;;
ToiletEMPTIEDLOC;Other;Other;;;;;;;;;
ToiletEMPTIEDLOC;NA;Does not know / prefers not to answer;;;;;;;;;
ToiletFacilitySHARE;Y;Yes;;;;;;;;;
ToiletFacilitySHARE;N;No;;;;;;;;;
ToiletFacilitySHARE;NA;Does not know / prefers not to answer;;;;;;;;;
ToiletFacilityCONS;SelfBuilt;Self-built;;;;;;;;;
ToiletFacilityCONS;Professional;Professional company or contract worker;;;;;;;;;
ToiletFacilityCONS;Landlord;Landlord;;;;;;;;;
ToiletFacilityCONS;YG_CBO;Youth group / Community-based Org.;;;;;;;;;
ToiletFacilityCONS;FBO;Faith-based organisation;;;;;;;;;
ToiletFacilityCONS;Other;Other;;;;;;;;;
ToiletFacilityCONS;NA;Does not know / prefers not to answer;;;;;;;;;
ToiletFacilityCOST;Y;Yes;;;;;;;;;
ToiletFacilityCOST;N;No;;;;;;;;;
ToiletFacilityCOST;NA;Does not know / prefers not to answer;;;;;;;;;
ToiletFacilityCLEAN;V_Clean;VERY CLEAN;;;;;;;;;
ToiletFacilityCLEAN;Clean;CLEAN;;;;;;;;;
ToiletFacilityCLEAN;Dirty;DIRTY;;;;;;;;;
ToiletFacilityCLEAN;V_Dirty;VERY DIRTY;;;;;;;;;
ToiletFacilityCLEAN;NA;Does not know / prefers not to answer;;;;;;;;;
ToiletFacilitySAFE;Any_time;Safe to use at any time;;;;;;;;;
ToiletFacilitySAFE;During_Day;Safe to use only during the day;;;;;;;;;
ToiletFacilitySAFE;Unsafe;Unsafe to use the facility;;;;;;;;;
ToiletFacilitySAFE;NA;Does not know / prefers not to answer;;;;;;;;;
HHITEMS;Electricity;Electricity?;;;;;;;;;
HHITEMS;Radio;A radio device?;;;;;;;;;
HHITEMS;Television;A television?;;;;;;;;;
HHITEMS;Smartphone;A smartphone?;;;;;;;;;
HHITEMS;Computer;A computer?;;;;;;;;;
HHITEMS;Refrigerator;A refrigerator?;;;;;;;;;
HHITEMS;Oven;An oven?;;;;;;;;;
HHITEMS;Microwave;A microwave?;;;;;;;;;
HHITEMS;Internet;Internet connection of any type (incl. via smartphone)?;;;;;;;;;
HHITEMS;Noitems;None of the above;;;;;;;;;
HHITEMS;NA;Does not know / prefers not to answer;;;;;;;;;
HHANIMALS;Y;Yes;;;;;;;;;
HHANIMALS;N;No;;;;;;;;;
HHANIMALS;NA;Does not know / prefers not to answer;;;;;;;;;
HHROOMS;Less_10;Less than 10;;;;;;;;;
HHROOMS;More_10;10 or more rooms;;;;;;;;;
HHROOMS;NA;Does not know / prefers not to answer;;;;;;;;;
HHCOOKING;House;In the house;;;;;;;;;
HHCOOKING;Separate_Building;In a separate building;;;;;;;;;
HHCOOKING;Outdoors;Outdoors;;;;;;;;;
HHCOOKING;Other;Other;;;;;;;;;
HHCOOKINGFUEL;Electric;Electric cooker;;;;;;;;;
HHCOOKINGFUEL;Solar;Solar cooker;;;;;;;;;
HHCOOKINGFUEL;Gas;Gas cooker;;;;;;;;;
HHCOOKINGFUEL;Kerosene;Kerosene cooker/stove;;;;;;;;;
HHCOOKINGFUEL;Solid;Solid fuel cooker;;;;;;;;;
HHCOOKINGFUEL;3stone;Three stone stove/open fire;;;;;;;;;
HHCOOKINGFUEL;Other;Other;;;;;;;;;
HHCOOKINGFUEL;NA;Does not know / prefers not to answer;;;;;;;;;
HHMATERIALS;Y;Yes;;;;;;;;;
HHMATERIALS;N;No;;;;;;;;;
HHFLOOR;Earth;NATURAL FLOOR: Earth/Sand;;;;;;;;;
HHFLOOR;Dung;NATURAL FLOOR: Dung;;;;;;;;;
HHFLOOR;Planks;RUDIMENTARY FLOOR: Wood planks;;;;;;;;;
HHFLOOR;Palm;RUDIMENTARY FLOOR: Palm/Bamboo;;;;;;;;;
HHFLOOR;Parquet;FINISHED FLOOR: Parquet or polished wood;;;;;;;;;
HHFLOOR;Ceramic;FINISHED FLOOR: Ceramic tiles;;;;;;;;;
HHFLOOR;Cement;FINISHED FLOOR: Cement;;;;;;;;;
HHFLOOR;Carpet;FINISHED FLOOR: Carpet;;;;;;;;;
HHFLOOR;Other;OTHER;;;;;;;;;
HHROOF;Thatch;NATURAL ROOFING: Thatch/Palm leaf;;;;;;;;;
HHROOF;Rustic_mat;RUDIMENTARY ROOFING: Rustic mat;;;;;;;;;
HHROOF;Cardboard;RUDIMENTARY ROOFING: Cardboard;;;;;;;;;
HHROOF;Rustic_planks;RUDIMENTARY ROOFING: Rustic wood or bamboo planks;;;;;;;;;
HHROOF;Rustic_metal;RUDIMENTARY ROOFING: Rustic metal sheets;;;;;;;;;
HHROOF;Bamboo_wood;FINISHED ROOFING: Bamboo or wood;;;;;;;;;
HHROOF;Metal;FINISHED ROOFING: Metallic cladding;;;;;;;;;
HHROOF;CementFiber;FINISHED ROOFING: Cement fiber;;;;;;;;;
HHROOF;CeramicTiles;FINISHED ROOFING: Ceramic tiles;;;;;;;;;
HHROOF;Concrete;FINISHED ROOFING: Concrete slab;;;;;;;;;
HHROOF;Other;OTHER;;;;;;;;;
HHROOF;No_roof;NO ROOF;;;;;;;;;
HHEXTWALLS;Cane_Palm_Trunks;NATURAL WALLS: Cane/Palm/Trunks;;;;;;;;;
HHEXTWALLS;Dirt_Uncovered_adobe;NATURAL WALLS: Dirt/Uncovered adobe;;;;;;;;;
HHEXTWALLS;Cardboard;RUDIMENTARY WALLS: Cardboard;;;;;;;;;
HHEXTWALLS;ReusedWoodOrBamboo;RUDIMENTARY WALLS: Rustic wood/plywood or bamboo;;;;;;;;;
HHEXTWALLS;Metal;RUDIMENTARY WALLS: Rustic metal sheets;;;;;;;;;
HHEXTWALLS;Stone_mud;RUDIMENTARY WALLS: Stone with mud;;;;;;;;;
HHEXTWALLS;Covered_adobe;FINISHED WALLS: Covered adobe;;;;;;;;;
HHEXTWALLS;Planks_Shingles;FINISHED WALLS: Wood planks/Shingles;;;;;;;;;
HHEXTWALLS;Bricks;FINISHED WALLS: Bricks (made of earth);;;;;;;;;
HHEXTWALLS;CementOrStone;FINISHED WALLS: Cement / stone;;;;;;;;;
HHEXTWALLS;Other;OTHER;;;;;;;;;
HHEXTWALLS;No_walls;NO WALLS;;;;;;;;;
;;;;;;;;;;;
