,uuid,KEY,City,Site,Sex_HH,DrinkingWaterGroup,DrinkingWater_Private,DrinkingWater_Public,DrinkingWaterDist,DrinkingWaterLocation,DrinkingWater_PublicSpec,DrinkingWater_PublicVendor,DrinkingWaterAvailability,ObsHandWashPLACE,ObsHandWashSOAP,ObsHandWashWATER,ToiletFacility,ToiletFacilityTYPE,ToiletFacilityTYPE_Dry,ToiletFacilityTYPE_Flush,ToiletFacilitySHARE,ToiletROOF,ToiletFacilityCLEAN,ToiletFacilitySAFE,HHITEMS/Computer,HHITEMS/Electricity,HHITEMS/Internet,HHITEMS/Oven,HHITEMS/Radio,HHITEMS/Refrigerator,HHITEMS/Smartphone,HHITEMS/Television,HHITEMS/Noitems,HHITEMS/NA,HHMATERIALS,HHEXTWALLS,HHROOF,HHFLOOR,HHROOMS,HHCOOKING,StreetFood
10,51e3d6c74bba45febd33457e11a9b459,uuid:45e42a24-0fc2-4f19-80bd-7fb01925071b,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Mobile,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_coveredPit,N,Y,,,0,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,Rustic_toles_fibr,Cement,2,Outdoors,2_4
11,51e3d6c74bba45febd33457e11a9b459,uuid:73d150a8-3d8f-453c-b554-7ed7d0acd462,Abidjan,Azito,M,Private,Piped_yard,,,,,,Y,Obs_Mobile,None,Water_OK,Own_YardPlot,DryOrCompost,Dry_ImprSlab,,N,Y,Dirty,Any_time,0,1,1,0,0,0,1,1,0,0,Y,ReusedWoodOrBamboo,Rustic_toles_fibr,Cement,2,Outdoors,2_4
12,51e3d6c74bba45febd33457e11a9b459,uuid:cb6c634f-57c8-471c-a9da-5465c3e1b2a5,Abidjan,Azito,F,Private,Piped_dwel,,,,,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_piped,N,Y,,,0,1,1,0,1,1,1,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,3,House,0_1
13,51e3d6c74bba45febd33457e11a9b459,uuid:e5919599-f4d7-4e66-91bc-75a3633170a5,Abidjan,Azito,M,Surface,,,3.0,Indicated,,,Y,Obs_Mobile,None,Water_OK,Own_Dwelling,Flush,,Flush_river,N,Y,,,0,1,1,0,1,0,1,0,0,0,Y,Covered_adobe,CementFiber,Cement,1,Outdoors,2_4
14,51e3d6c74bba45febd33457e11a9b459,uuid:6c4686f1-0457-482c-9cd0-3d32fd5f3327,Abidjan,Azito,F,Private,Piped_dwel,,,,,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_piped,N,Y,,,0,1,1,0,1,1,1,1,0,0,Y,Covered_adobe,Metal,Cement,3,House,0_1
15,51e3d6c74bba45febd33457e11a9b459,uuid:9cc9ab0c-7c88-4bef-ad16-1dde8eb401eb,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,1,1,1,1,1,0,0,Y,Covered_adobe,Metal,Ceramic,2,House,2_4
16,51e3d6c74bba45febd33457e11a9b459,uuid:aa6f183f-a548-4ea4-8c8a-27b48c29014f,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,1,1,1,0,1,1,1,1,0,0,Y,Covered_adobe,Metal,Ceramic,2,House,0_1
17,51e3d6c74bba45febd33457e11a9b459,uuid:ab4687ee-c4e0-4617-929c-5132cf7d9b20,Abidjan,Azito,F,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,1,0,1,1,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,3,House,2_4
18,51e3d6c74bba45febd33457e11a9b459,uuid:71622a60-9f6d-49c1-93bc-12049d66e2d5,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_coveredPit,N,Y,,,0,1,1,0,1,0,1,1,0,0,Y,Covered_adobe,Rustic_toles_fibr,Ceramic,2,House,2_4
19,51e3d6c74bba45febd33457e11a9b459,uuid:f4de7b07-9077-46c8-980f-103dc5a2107a,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,2,House,5_Or_More
20,51e3d6c74bba45febd33457e11a9b459,uuid:07b9a154-bf7e-4bba-8f10-dd8e454351c3,Abidjan,Azito,M,Private,Piped_dwel,,,,,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_septic_tank,Y,Y,Clean,Any_time,0,1,1,0,1,1,1,1,0,0,Y,Covered_adobe,Metal,Cement,2,House,2_4
21,51e3d6c74bba45febd33457e11a9b459,uuid:74647768-c969-41a6-a2a4-c9d18214bcf6,Abidjan,Azito,F,Private,Piped_dwel,,,,,,N,Obs_Mobile,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,0,0,0,1,0,0,0,Y,Covered_adobe,CementFiber,Ceramic,4,Separate_Building,2_4
22,51e3d6c74bba45febd33457e11a9b459,uuid:58e15aca-7dbc-4b2a-a22f-a62757570456,Abidjan,Azito,M,Private,Piped_dwel,,,,,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,Metal,Cement,2,House,5_Or_More
23,51e3d6c74bba45febd33457e11a9b459,uuid:54da14c0-c132-4b41-a725-e8ac2a1a72ef,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,1,1,1,1,1,1,1,1,0,0,Y,Covered_adobe,Metal,Cement,2,House,5_Or_More
24,51e3d6c74bba45febd33457e11a9b459,uuid:b89fd8f3-a2e4-450b-a20f-3ac0a1b0efd4,Abidjan,Azito,M,Private,Piped_yard,,,,,,N,Obs_Mobile,None,Water_NOT_OK,Own_YardPlot,Flush,,Flush_septic_tank,N,Y,Clean,Any_time,0,1,1,0,1,1,1,1,0,0,Y,Covered_adobe,Rustic_metal,Ceramic,2,Outdoors,5_Or_More
25,51e3d6c74bba45febd33457e11a9b459,uuid:5b0c0cc2-4e40-40d2-96ff-ed4e6e862afc,Abidjan,Azito,F,Private,Piped_dwel,,,,,,Y,Obs_Mobile,None,Water_OK,Own_Dwelling,Flush,,Flush_coveredPit,N,Y,,,0,1,1,0,0,1,0,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,3,House,0_1
26,51e3d6c74bba45febd33457e11a9b459,uuid:ff6e0c1a-65bb-42b8-a1e4-b658567df0d7,Abidjan,Azito,M,Private,Piped_dwel,,,,,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,1,1,1,0,1,1,1,1,0,0,Y,Covered_adobe,Metal,Ceramic,2,House,2_4
27,51e3d6c74bba45febd33457e11a9b459,uuid:77ce82c2-c137-4e65-aee3-2563a62bcc1f,Abidjan,Azito,M,Private,Piped_dwel,,,,,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,CementFiber,Cement,3,House,2_4
28,51e3d6c74bba45febd33457e11a9b459,uuid:aab4d0c6-9b8b-4083-b595-9b64c0764cfc,Abidjan,Azito,M,Private,Piped_dwel,,,,,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_piped,N,Y,,,1,1,1,1,1,1,1,1,0,0,Y,Covered_adobe,Concrete,Cement,111,House,0_1
29,51e3d6c74bba45febd33457e11a9b459,uuid:736d7408-107b-4d65-bbb5-01448052f77e,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,1,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,2,House,5_Or_More
30,51e3d6c74bba45febd33457e11a9b459,uuid:fec11722-74e1-41e5-8828-3d6ebf9d09e6,Abidjan,Azito,F,Private,Piped_dwel,,,,,,N,Obs_Mobile,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,0,0,0,1,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,3,Outdoors,2_4
31,51e3d6c74bba45febd33457e11a9b459,uuid:062d6af3-4838-4e33-82e1-f1fe3e83b410,Abidjan,Azito,M,Private,Piped_dwel,,,,,,Y,,,,Own_YardPlot,Flush,,Flush_septic_tank,Y,Y,Clean,Any_time,0,1,0,0,1,1,0,1,0,0,Y,Covered_adobe,CementFiber,Cement,2,Outdoors,0_1
32,51e3d6c74bba45febd33457e11a9b459,uuid:1f3bf69a-ddfd-4b08-b5c3-85068d85759d,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_river,N,Y,,,0,1,0,0,1,1,0,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,2,House,
33,51e3d6c74bba45febd33457e11a9b459,uuid:86fb2f1c-8997-4152-bb8f-eec3ca60be21,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,DryOrCompost,Dry_VIP,,N,Y,,,1,1,1,0,1,1,1,1,0,0,Y,Covered_adobe,Metal,Cement,2,House,5_Or_More
34,51e3d6c74bba45febd33457e11a9b459,uuid:10b197ff-bceb-4462-9aef-6f2378011bbe,Abidjan,Azito,F,Private,Piped_dwel,,,,,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_river,N,Y,,,0,1,0,0,1,1,1,1,0,0,Y,Covered_adobe,CeramicTiles,Cement,3,House,0_1
35,51e3d6c74bba45febd33457e11a9b459,uuid:c2160323-3cdf-442f-bcce-8d186a94f0b2,Abidjan,Azito,M,Private,Piped_dwel,,,,,,Y,Obs_Mobile,None,Water_NOT_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,0,0,0,1,1,0,0,Y,Covered_adobe,Metal,Cement,2,House,5_Or_More
36,51e3d6c74bba45febd33457e11a9b459,uuid:ff461dd4-12e4-407a-9f4d-ebc3b713bd87,Abidjan,Azito,F,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,0,1,1,1,1,0,0,Y,Covered_adobe,Metal,Ceramic,2,House,0_1
37,51e3d6c74bba45febd33457e11a9b459,uuid:9bba3723-0d20-45b0-aa60-53e83196f4cc,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,1,1,1,1,1,0,0,Y,Covered_adobe,Metal,Cement,2,House,5_Or_More
38,51e3d6c74bba45febd33457e11a9b459,uuid:0cc98cc6-cb3a-4ac1-b77f-13df5c3391d3,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,,,,Own_YardPlot,Flush,,Flush_septic_tank,Y,Y,Clean,Any_time,0,1,1,0,0,0,1,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,3,Separate_Building,
39,51e3d6c74bba45febd33457e11a9b459,uuid:5e00122e-6cf2-49f5-9c34-af683e631115,Abidjan,Azito,F,Private,Piped_dwel,,,,,,N,Obs_Mobile,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,1,House,5_Or_More
40,51e3d6c74bba45febd33457e11a9b459,uuid:1961fa99-ddd7-4923-8bbd-cffb31d86a21,Abidjan,Azito,F,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,1,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,1,House,0_1
41,51e3d6c74bba45febd33457e11a9b459,uuid:1948c96d-fb5c-4af1-a230-5907428b7e1b,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_septic_tank,N,Y,Clean,Any_time,0,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,3,Outdoors,0_1
42,51e3d6c74bba45febd33457e11a9b459,uuid:119ce647-9049-4929-a3d6-e2b49b7b0a82,Abidjan,Azito,M,Private,Piped_dwel,,,,,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,1,1,0,1,1,0,0,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,3,Outdoors,2_4
43,51e3d6c74bba45febd33457e11a9b459,uuid:6e098070-7c0d-4154-b7cf-ace6cbf61d92,Abidjan,Azito,M,Private,Piped_dwel,,,,,,Y,Obs_Mobile,None,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,CeramicTiles,Cement,3,House,2_4
45,51e3d6c74bba45febd33457e11a9b459,uuid:e6881dad-2c34-419b-9bb6-3f1a4be9d37a,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,,,,Own_Dwelling,Flush,,Flush_river,N,Y,,,0,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,2,House,5_Or_More
46,51e3d6c74bba45febd33457e11a9b459,uuid:c5b1000f-32be-4a56-8f91-f020337f4cce,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,1,1,0,0,0,0,1,1,0,0,Y,Covered_adobe,Metal,Ceramic,3,House,2_4
47,51e3d6c74bba45febd33457e11a9b459,uuid:2b9f551b-02cb-4692-9cc5-0d0dcf9a72fe,Abidjan,Azito,M,Private,Piped_yard,,,,,,N,Obs_Mobile,None,Water_OK,Own_YardPlot,Flush,,Flush_septic_tank,Y,Y,Clean,Any_time,0,1,1,0,0,0,1,1,0,0,Y,Covered_adobe,Metal,Cement,1,House,2_4
48,51e3d6c74bba45febd33457e11a9b459,uuid:6657ca7d-b293-4756-855f-5d9462620f05,Abidjan,Azito,M,Private,Piped_dwel,,,,,,Y,Obs_Mobile,None,Water_OK,Own_YardPlot,Flush,,Flush_septic_tank,Y,Y,Clean,Any_time,0,1,1,0,0,0,1,1,0,0,Y,Covered_adobe,CeramicTiles,Cement,1,House,2_4
49,51e3d6c74bba45febd33457e11a9b459,uuid:fd094655-47e0-426e-9f4e-af16898b4d58,Abidjan,Azito,F,Private,Piped_dwel,,,,,,N,Obs_Mobile,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,0,1,0,1,0,1,0,0,Y,Covered_adobe,Metal,Cement,2,House,5_Or_More
50,51e3d6c74bba45febd33457e11a9b459,uuid:668c96e1-630c-4342-8f45-39ee10468121,Abidjan,Azito,M,Private,Piped_dwel,,,,,,Y,Obs_Fixed,None,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,1,0,1,1,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,3,House,2_4
51,51e3d6c74bba45febd33457e11a9b459,uuid:79716d93-2f22-4712-a001-0731fd40ba74,Abidjan,Azito,F,Private,Piped_dwel,,,,,,N,Obs_Mobile,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,0,0,0,1,1,0,0,Y,Covered_adobe,CementFiber,Cement,3,House,0_1
52,51e3d6c74bba45febd33457e11a9b459,uuid:62fff191-5c55-4a3d-a979-3735f88ced91,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,1,1,1,0,1,1,1,1,0,0,Y,Covered_adobe,Metal,Ceramic,2,House,0_1
53,51e3d6c74bba45febd33457e11a9b459,uuid:9abba7f4-7e8b-4f6b-a094-951a39fa4432,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,0,1,0,1,1,0,0,Y,Covered_adobe,Metal,Cement,3,Outdoors,0_1
54,51e3d6c74bba45febd33457e11a9b459,uuid:7d9dec43-2883-4de1-96f9-390fa4b391bd,Abidjan,Azito,F,Private,Piped_dwel,,,,,,Y,Obs_Mobile,SoapOrDeterg,Water_NOT_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,1,1,1,0,1,1,1,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,3,House,0_1
55,51e3d6c74bba45febd33457e11a9b459,uuid:a87115b5-9d25-443d-8487-9d2ce1e8efea,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Mobile,None,Water_NOT_OK,Own_YardPlot,DryOrCompost,Composting,,Y,Y,Clean,Any_time,0,1,0,0,0,1,1,1,0,0,Y,Stone_mud,Rustic_metal,Cement,2,House,5_Or_More
56,51e3d6c74bba45febd33457e11a9b459,uuid:e64325a0-bacf-4074-8e5e-9f29d97e57cc,Abidjan,Azito,M,Private,Piped_dwel,,,,,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_river,N,Y,Clean,Any_time,0,1,0,0,0,1,0,1,0,0,Y,ReusedWoodOrBamboo,Rustic_planks,Cement,2,House,
57,51e3d6c74bba45febd33457e11a9b459,uuid:47dfb332-0daa-434d-be1a-c59acb9f87a7,Abidjan,Azito,M,Private,Piped_yard,,,,,,Y,,,,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,1,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,CementFiber,Cement,1,House,
58,51e3d6c74bba45febd33457e11a9b459,uuid:b40f4b90-5c75-4c61-8775-14116db789ef,Abidjan,Azito,M,Private,Piped_dwel,,,,,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,1,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,CementFiber,Cement,1,House,0_1
59,51e3d6c74bba45febd33457e11a9b459,uuid:fbbcddcb-e3cb-42b1-b836-72e5c669d4d6,Abidjan,Azito,F,Private,Piped_dwel,,,,,,N,Obs_Mobile,None,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,0,1,1,1,1,0,0,Y,Covered_adobe,CementFiber,Cement,3,Outdoors,2_4
60,51e3d6c74bba45febd33457e11a9b459,uuid:3d005be6-bc2b-409f-bed7-3f506fea1c74,Abidjan,Azito,M,Private,Piped_yard,,,,,,N,Obs_Mobile,None,Water_OK,Own_YardPlot,Flush,,Flush_coveredPit,Y,Y,Dirty,Any_time,0,1,0,0,0,1,1,1,0,0,Y,Covered_adobe,Rustic_toles_fibr,Cement,1,Outdoors,2_4
61,51e3d6c74bba45febd33457e11a9b459,uuid:481ec6dd-5f68-4fc0-acd1-9e3129ce3418,Abidjan,Azito,M,Private,Piped_dwel,,,,,,Y,Obs_Mobile,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,0,0,0,1,1,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,3,Outdoors,
62,51e3d6c74bba45febd33457e11a9b459,uuid:84b33dda-3375-4dc7-9390-13d9398372e5,Abidjan,Azito,M,Private,Piped_neigh,,2.0,Indicated,,,N,Obs_Mobile,None,Water_OK,Neighb_YardPlot,Flush,,Flush_river,N,Y,Clean,Any_time,0,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,CementFiber,Cement,2,Separate_Building,0_1
63,51e3d6c74bba45febd33457e11a9b459,uuid:bcd6d116-7f17-4645-a038-1db926c67b71,Abidjan,Azito,M,Private,Piped_yard,,,,,,Y,,,,Own_YardPlot,Flush,,Flush_river,Y,N,Dirty,During_Day,0,1,0,0,1,1,0,1,0,0,Y,ReusedWoodOrBamboo,Metal,Cement,3,Separate_Building,5_Or_More
64,51e3d6c74bba45febd33457e11a9b459,uuid:f6b743d8-f450-46b4-a91b-1e7cf03941b0,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,1,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,2,House,5_Or_More
65,51e3d6c74bba45febd33457e11a9b459,uuid:5bfb90e6-bd48-49c0-964e-87d6858c204e,Abidjan,Azito,M,Private,Piped_yard,,,,,,N,Obs_Mobile,None,Water_OK,Own_YardPlot,DryOrCompost,Dry_UnimpLat,,N,Y,Clean,During_Day,0,1,0,0,0,0,1,1,0,0,Y,Covered_adobe,Rustic_toles_fibr,Cement,2,Outdoors,5_Or_More
66,51e3d6c74bba45febd33457e11a9b459,uuid:2ac1a51c-56ba-4c0d-ad74-7d1ec3cc80a6,Abidjan,Azito,F,Private,Piped_dwel,,,,,,Y,,,,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,0,0,1,1,0,0,0,Y,Covered_adobe,CementFiber,Ceramic,1,House,0_1
67,51e3d6c74bba45febd33457e11a9b459,uuid:cba468a3-5880-45c0-af50-3a5e371a2742,Abidjan,Azito,M,Private,Piped_dwel,,,,,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,2,House,2_4
68,51e3d6c74bba45febd33457e11a9b459,uuid:eccc2a8d-216e-4e37-a904-98654e47aef6,Abidjan,Azito,F,Private,Piped_yard,,,,,,Y,Obs_Mobile,None,Water_OK,Own_YardPlot,Flush,,Flush_septic_tank,N,Y,Clean,During_Day,0,1,1,0,1,0,1,1,0,0,Y,Covered_adobe,CeramicTiles,Cement,2,House,0_1
